Timestamp,Source IP,Destination IP,Source Port,Destination Port,TCP Flags,Message Content
2026-01-16 14:53:45.163316,192.168.0.11,192.168.0.11,50295,10000,S,
2026-01-16 14:53:45.163376,192.168.0.11,192.168.0.11,10000,50295,SA,
2026-01-16 14:53:45.163393,192.168.0.11,192.168.0.11,50295,10000,A,
2026-01-16 14:53:45.164197,192.168.0.11,192.168.0.11,10000,50295,PA,Enter your username:
2026-01-16 14:53:45.164213,192.168.0.11,192.168.0.11,50295,10000,A,
2026-01-16 14:53:49.144545,192.168.0.11,192.168.0.11,50295,10000,PA,Lahav
2026-01-16 14:53:49.144598,192.168.0.11,192.168.0.11,10000,50295,A,
2026-01-16 14:53:49.144796,192.168.0.11,192.168.0.11,10000,50295,PA,"Welcome Lahav! To chat, type: TargetName:Message"
2026-01-16 14:53:49.144837,192.168.0.11,192.168.0.11,50295,10000,A,
2026-01-16 14:54:07.750807,192.168.0.11,192.168.0.11,50295,10000,PA,"Gitam:Hey, how are you?"
2026-01-16 14:54:07.750848,192.168.0.11,192.168.0.11,10000,50295,A,
2026-01-16 14:54:34.728218,192.168.0.11,192.168.0.11,10000,50295,PA,"[Gitam]: I'm fine, and you?"
2026-01-16 14:54:34.728262,192.168.0.11,192.168.0.11,50295,10000,A,
2026-01-16 14:54:58.776965,192.168.0.11,192.168.0.11,50295,10000,PA,Gitam:I feel great. Do you think we'll succeed in the project?
2026-01-16 14:54:58.777036,192.168.0.11,192.168.0.11,10000,50295,A,
2026-01-16 14:55:50.936246,192.168.0.11,192.168.0.11,10000,50295,PA,"[Gitam]: I'm sure we will, don't worry!"
2026-01-16 14:55:50.936289,192.168.0.11,192.168.0.11,50295,10000,A,
2026-01-16 14:56:04.498598,192.168.0.11,192.168.0.11,50295,10000,RA,
